"fish_taxon","biomass_constant_a","biomass_constant_b","biomass_constant_c"
"Neopomacentrus azysron",0.027726,2.906419,0.806
"Plectroglyphidodon lacrymatus",0.02239,2.99,1
"Pomacentrus baenschi",0.01479,2.98,1
"Pomacentrus caeruleus",0.0245,2.784,1
"Pomacentrus pavo",0.030728,2.875203,0.944
"Stegastes fasciolatus",0.0028,4.063,0.884
"Scarus ghobban",0.015696,3.016738,1
"Scarus niger",0.024136,3.147753,0.794
"Zanclus cornutus",0.0147,3.36991,1
"Acanthurus auranticavus",0.02291,2.96,1
"Acanthurus dussumieri",0.037995,2.83451,1
"Acanthurus triostegus",0.038953,2.946438,1
"Naso brevirostris",0.032661,2.93798,1
"Naso lituratus",0.0324,2.94,0.848176
"Zebrasoma desjardinii",0.02344,2.97,1
"Cheilodipterus macrodon",0.003771,3.522972,1
"Chaetodon interruptus",0.02291,3.01,1
"Chaetodon kleinii",0.0449,3.036,0.827
"Chaetodon trifascialis",0.03472,2.879309,1
"Chaetodon vagabundus",0.02776,2.97346,1
"Forcipiger longirostris",0.0271,3.061,1
"Cirrhitichthys falco",0.009901,3.426927,1
"Paracirrhites forsteri",0.00933,3.08,1
"Halichoeres hortulanus",0.0119,3.064,1
"Halichoeres marginatus",0.00526,3.414,1
"Halichoeres nebulosus",0.01,3.08,1
"Hemigymnus fasciatus",0.02423,2.92262,1
"Thalassoma genivittatum",0.00977,3.05,1
"Thalassoma hardwicke",0.008713,3.208829,1
"Cantherhines dumerilii",0.0406,2.792,1
"Oxymonacanthus longirostris",0.01047,3.05,1
"Ostracion meleagris",0.03548,2.81,1
"Parapercis clathrata",0.00646,3.1,1
"Centropyge acanthops",0.0302,2.89,1
"Chromis dimidiata",0.01778,2.99,1
"Plectroglyphidodon johnstonianus",0.0612,2.635,1
"Chlorurus atrilunula",0.01413,3.04,1
"Chlorurus cyanescens",0.01413,3.04,1
"Scarus",0.016152,3.045792,0.98492
"Canthigaster valentini",0.052938,2.744192,1
"Ctenochaetus binotatus",0.050728,2.744453,1
"Naso caesius",0.01995,3,1
"Naso unicornis",0.029529,2.923551,1
"Balistapus undulatus",0.0565,2.947,0.840689
"Plagiotremus tapeinosoma",0.00523,2.90832,1
"Chaetodon guttatissimus",0.02291,3.01,1
"Chaetodon melannotus",0.029941,3.011927,1
"Paracirrhites arcatus",0.00933,3.08,1
"Diagramma pictum",0.014737,2.983509,1
"Choerodon fasciatus",0.01259,3.05,1
"Gomphosus caeruleus",0.01838,2.70269,1
"Gomphosus varius",0.01838,2.70269,1
"Oxycheilinus digramma",0.0389,2.847,0.848
"Pseudocheilinus hexataenia",0.01622,2.96,1
"Stethojulis",0.016358,2.939391,0.991667
"Ptereleotris evides",0.00389,3.12,1
"Cantherhines pardalis",0.017,3.07,1
"Parapercis",0.007534,3.078363,1
"Centropyge multispinis",0.0302,2.89,1
"Pomacanthus semicirculatus",0.0309,2.9,1
"Abudefduf sexfasciatus",0.012524,3.132315,1
"Dascyllus trimaculatus",0.02577,3.04325,1
"Siganus stellatus",0.0441,2.597,1
"Canthigaster amboinensis",0.02818,2.094,1
"Acanthurus leucosternon",0.0286,2.921,1
"Acanthurus lineatus",0.016755,2.969606,1
"Acanthurus nigrofuscus",0.014309,3.096389,1
"Acanthurus nigroris",0.02291,2.96,1
"Sufflamen chrysopterum",0.02972,2.957254,1
"Anampses lineatus",0.01,3.06,1
"Stethojulis albovittata",0.032783,2.655299,1
"Stethojulis bandanensis",0.03035,2.581,0.925
"Thalassoma hebraicum",0.00977,3.05,1
"Lethrinus harak",0.014947,3.034322,1
"Parupeneus macronemus",0.00538,3.32293,1
"Parupeneus trifasciatus",0.00576,3.313934,1
"Pomacanthus chrysurus",0.0309,2.9,1
"Chromis",0.018393,2.984723,1
"Stegastes",0.022224,3.031841,0.97968
"Stegastes pelicieri",0.01995,2.99,1
"Chlorurus sordidus",0.020118,3.059482,1
"Scarus frenatus",0.01889,3.06,1
"Scarus rubroviolaceus",0.0114,3.18,1
"Sphyraena barracuda",0.020464,2.890473,1
"Arothron",0.039653,2.832535,1
"Acanthurus nigricauda",0.015087,3.021904,1
"Acanthurus tennentii",0.02291,2.96,1
"Acanthurus xanthopterus",0.026812,2.892373,1
"Ctenochaetus strigosus",0.00601,3.379,1
"Paracanthurus hepatus",0.02344,2.97,1
"Zebrasoma scopas",0.034129,2.939876,1
"Caesio teres",0.0169,3.232,0.775795
"Chaetodon meyeri",0.02291,3.01,1
"Myripristis",0.022981,3.055743,0.977174
"Sargocentron diadema",0.0117,3.138,1
"Kyphosus cinerascens",0.0306,2.94,0.919118
"Anampses meleagrides",0.01,3.06,1
"Anampses twistii",0.01,3.06,1
"Bodianus axillaris",0.01202,3.06,1
"Bodianus diana",0.01202,3.06,1
"Coris cuvieri",0.01,3.06,1
"Halichoeres cosmetus",0.01,3.08,1
"Macropharyngodon cyanoguttatus",0.01,3.06,1
"Gnathodentex aureolineatus",0.014262,3.024904,1
"Gymnocranius grandoculis",0.026616,2.878493,1
"Lutjanus bohar",0.013464,3.055209,1
"Lutjanus ehrenbergii",0.0367,2.96,0.835422
"Lutjanus fulviflamma",0.019483,2.943305,1
"Lutjanus gibbus",0.016308,3.030469,1
"Lutjanus kasmira",0.009214,3.186953,1
"Macolor niger",0.0217,2.97,0.921
"Mulloidichthys vanicolensis",0.012151,2.961174,1
"Ostracion cubicus",0.101,2.588,1
"Amphiprion akallopisos",0.01122,3.04,1
"Chromis weberi",0.01778,2.99,1
"Priacanthus hamrur",0.018258,2.841246,1
"Scarus tricolor",0.0229,3.106,0.877
"Cephalopholis argus",0.011562,3.143294,1
"Pseudanthias squamipinnis",0.00933,2.97,1
"Siganus argenteus",0.008344,3.12321,1
"Aulostomus chinensis",0.000728,3.69717,1
"Caesio lunaris",0.0363,2.972,0.808407
"Halichoeres nigrescens",0.01,3.08,1
"Labrichthys unilineatus",0.01503,3,1
"Parupeneus cyclostomus",0.0136,3.11,0.933
"Dascyllus aruanus",0.064947,2.645624,1
"Plectroglyphidodon dickii",0.0612,2.747,1
"Scarus russelii",0.01445,3.04,1
"Cheilodipterus",0.007009,3.33301,1
"Melichthys niger",0.0257,2.94,1
"Odonus niger",0.0438,2.91,0.751
"Caesio xanthonota",0.01259,3.09,1
"Chaetodon citrinellus",0.037678,2.815819,1
"Chaetodon mertensii",0.004261,3.800466,1
"Cheilinus fasciatus",0.01995,3,1
"Coris caudimacula",0.01,3.06,1
"Apolemichthys trimaculatus",0.0302,2.89,1
"Chromis opercularis",0.01479,2.98,1
"Pomacentrus",0.022427,2.980789,0.991098
"Pomacentrus chrysurus",0.025141,3.119747,0.95
"Scarus psittacus",0.022858,2.96259,1
"Aethaloperca rogaa",0.01148,3.05,1
"Epinephelus fasciatus",0.014125,3.037035,1
"Acanthurus albipectoralis",0.01698,2.99,1
"Acanthurus mata",0.01906,2.976475,1
"Naso brachycentron",0.01995,3,1
"Naso hexacanthus",0.02411,2.882137,1
"Naso tuberosus",0.01995,3,1
"Balistoides conspicillum",0.0257,2.94,1
"Caesio caerulaurea",0.014513,2.971531,1
"Sargocentron caudimaculatum",0.0391,2.941,0.863
"Labroides bicolor",0.00447,3.14,1
"Lethrinus",0.015221,3.031889,0.983037
"Aluterus scriptus",0.823,1.814,1
"Pomacanthus imperator",0.0371,2.968,1
"Amphiprion",0.019367,3.010325,1
"Scarus globiceps",0.0162,3.09,1
"Cephalopholis miniata",0.017727,2.995795,1
"Zebrasoma veliferum",0.034107,2.861415,1
"Chaetodon lineolatus",0.06926,2.62151,1
"Heniochus monoceros",0.019121,3.174275,1
"Bodianus anthioides",0.01202,3.06,1
"Monotaxis grandoculis",0.041756,2.851508,0.95
"Pygoplites diacanthus",0.0302,2.89,1
"Pomacentrus trichrourus",0.02344,2.99,1
"Plectropomus punctatus",0.01148,3.05,1
"Variola louti",0.01107,3.076899,1
"Coris",0.009203,3.084026,1
"Amphiprion clarkii",0.02291,2.99,1
"Epinephelus hexagonatus",0.01766,2.93,1
"Acanthurus blochii",0.014365,3.073704,1
"Caranx melampygus",0.017067,2.943245,1
"Lutjanus",0.018414,2.97991,0.984142
"Lutjanus rivulatus",0.00768,3.26016,1
"Parupeneus indicus",0.0148,3.1,0.933
"Pempheris tominagai",0.01585,2.99,1
"Abudefduf vaigiensis",0.021712,2.99246,1
"Pomacentrus trilineatus",0.02344,2.99,1
"Cephalopholis boenak",0.014562,3.024733,1
"Pterocaesio trilineata",0.008263,3.145008,1
"Pempheris vanicolensis",0.0119,3.026,1
"Pomacentrus sulfureus",0.02344,2.99,1
"Scarus viridifucatus",0.01445,3.04,1
"Arothron meleagris",0.02754,2.88,1
"Canthigaster bennetti",0.02818,2.094,1
"Pterocaesio pisang",0.00743,3.15,1
"Chaetodon bennetti",0.03839,2.88508,1
"Plectorhinchus vittatus",0.01349,3.01,1
"Anampses caeruleopunctatus",0.01,3.06,1
"Cetoscarus ocellatus",0.0276,2.92,1
"Chlorurus strongylocephalus",0.021734,3.012728,1
"Hipposcarus harid",0.0161,3.05,1
"Balistoides viridescens",0.02442,3.01828,1
"Thalassoma amblycephalum",0.00977,3.05,1
"Amphiprion latifasciatus",0.02291,2.99,1
"Naso vlamingii",0.03104,2.843,1
"Coris aygula",0.00266,3.48857,1
"Macropharyngodon bipartitus",0.01,3.06,1
"Dascyllus carneus",0.01479,2.98,1
"Cephalopholis nigripinnis",0.01259,3.05,1
"Cephalopholis urodeta",0.02822,2.81775,1
"Sargocentron seychellense",0.0166,2.97,1
"Plectropomus leopardus",0.009115,3.105091,1
"Caranx heberi",0.0166,2.96,1
"Chaetodon xanthocephalus",0.02291,3.01,1
"Stegastes limbatus",0.0179,3.126,1
"Canthigaster natalensis",0.02818,2.094,1
"Nemateleotris magnifica",0.00389,3.12,1
"Epinephelus",0.015452,3.010854,1
"Acanthurus leucocheilus",0.02291,2.96,1
"Cheilodipterus quinquelineatus",0.011595,3.035204,1
"Pterois volitans",0.0104,3.3,1
"Anyperodon leucogrammicus",0.002316,3.436084,1
"Cephalopholis spiloparaea",0.0254,3.053,0.831255
"Plectropomus laevis",0.00523,3.23774,1
"Apogon",0.011591,3.096,0.993977
"Chaetodon blackburnii",0.02291,3.01,1
"Aphareus furca",0.0277,2.87,0.86881
"Calotomus carolinus",0.0091,3.28,1
"Ctenochaetus truncatus",0.02344,2.97,1
"Pterocaesio tile",0.013,3.268,0.863
"Myripristis murdjan",0.0193,3.034,1
"Lutjanus monostigma",0.018003,2.939851,1
"Fistularia commersonii",0.0112,2.54,1
"Scomberoides lysan",0.022946,2.792038,1
"Platax orbicularis",0.0425,2.975,1
"Lutjanus lutjanus",0.019938,2.901512,1
"Scarus caudofasciatus",0.01445,3.04,1
"Scomberomorus commerson",0.007283,2.994036,1
"Epinephelus flavocaeruleus",0.01148,3.04,1
"Chaetodon",0.026662,3.009831,0.992012
"Zebrasoma gemmatum",0.02344,2.97,1
"Parupeneus pleurostigma",0.01202,3.09,1
"Monodactylus argenteus",0.031999,2.939938,0.954
"Abudefduf natalensis",0.02455,3.01,1
"Stegastes nigricans",0.022,3.086,1
"Scolopsis bimaculata",0.0182,2.98,1
"Sargocentron spiniferum",0.016547,3.050844,1
"Parupeneus spilurus",0.047408,2.816568,0.887
"Sebastapistes cyanostigma",0.0123,3.02,1
"Lethrinus lentjan",0.021258,2.922373,1
"Zebrasoma xanthurum",0.02344,2.97,1
"Rhinecanthus aculeatus",0.0522,2.641,1
"Rhinecanthus rectangulus",0.0522,2.641,1
"Kyphosus vaigiensis",0.01623,3.03696,1
"Gobiodon citrinus",0.0577,2.43917,1
"Thalassoma",0.010138,3.035389,0.996591
"Epinephelus longispinis",0.027,3.249,1
"Halichoeres",0.009374,3.074489,1
"Acanthurus pyroferus",0.02291,2.96,1
"Anampses",0.010829,3.055833,1
"Oxycheilinus orientalis",0.0166,2.95,1
"Myripristis chryseres",0.0182,3.05,1
"Pomacentrus similis",0.02344,2.99,1
"Scolopsis frenata",0.0182,2.98,1
"Taeniura lymma",0.00776,3.02,1
"Platax boersii",0.02455,2.96,1
"Plectorhinchus",0.020581,2.959829,0.9905
"Siganus",0.019537,3.03409,0.977828
"Epinephelus merra",0.013138,3.109829,1
"Atule mate",0.01229,3.034095,1
"Gnathanodon speciosus",0.016908,2.926345,1
"Neopomacentrus cyanomos",0.01479,2.98,1
"Scolopsis ghanam",0.0182,2.98,1
"Canthigaster solandri",0.02989,2.97881,1
"Lethrinus borbonicus",0.00389,3.12,1
"Chaetodon ephippium",0.02249,3.06092,1
"Scarus scaber",0.0278,2.857,1
"Epinephelus fuscoguttatus",0.0143,3.034687,1
"Pomacanthus",0.033451,2.921983,1
"Kyphosus",0.018742,3.039305,0.973375
"Sphyraena jello",0.007369,3.03174,1
"Lethrinus obsoletus",0.016939,3.003924,1
"Chromis nigrura",0.01778,2.99,1
"Platax teira",0.02455,2.96,1
"Halichoeres scapularis",0.00524,3.382,1
"Lethrinus microdon",0.021,2.9,0.927644
"Pterocaesio marri",0.01072,3.12,1
"Myripristis violacea",0.038598,2.922834,0.925
"Chromis ternatensis",0.014635,3.1485,1
"Sphyraena acutipinnis",0.00708,2.93,1
"Acanthurus thompsoni",0.01698,2.99,1
"Chaetodon madagaskariensis",0.02291,3.01,1
"Chaetodon ornatissimus",0.02291,3.01,1
"Gymnosarda unicolor",0.00788,3.065,1
"Echeneis naucrates",0.000841,3.334888,1
"Lutjanus argentimaculatus",0.026107,2.870725,1
"Lutjanus malabaricus",0.01564,3.007681,1
"Epinephelus areolatus",0.023307,2.934305,1
"Epinephelus coioides",0.015147,3.026848,1
"Carangoides ferdau",0.025497,2.83241,1
"Pseudodax moluccanus",0.01122,3.04,1
"Chrysiptera annulata",0.01479,2.98,1
"Ostorhinchus aureus",0.00994,3.265946,1
"Ostorhinchus taeniophorus",0.00646,3.19,1
"Sufflamen bursa",0.0257,2.94,1
"Diodon hystrix",0.193,2.41,1
"Aprion virescens",0.012092,3.021243,1
"Oxycheilinus arenatus",0.0166,2.95,1
"Plectorhinchus sordidus",0.036,2.75,0.98
"Stegastes apicalis",0.01995,2.99,1
"Canthigaster",0.032071,2.277867,0.98701
"Acanthurus nubilus",0.02291,2.96,1
"Acanthurus gahhm",0.02291,2.96,1
"Caranx",0.017336,2.969143,0.977017
"Scarus schlegeli",0.020801,3.00244,1
"Heniochus",0.021159,3.083247,1
"Chlorurus gibbus",0.021734,3.012728,1
"Stegastes lividus",0.0652,2.741,0.885
"Sphyraena",0.009226,2.896197,0.992556
"Sufflamen",0.028112,2.950352,1
"Parapercis tetracantha",0.00646,3.1,1
"Amphiprion chrysogaster",0.02291,2.99,1
"Cetoscarus bicolor",0.0276,2.92,1
"Neoniphon sammara",0.00489,3.379,1
"Parapercis hexophtalma",0.00682,3.15726,1
"Dascyllus reticulatus",0.035245,2.943364,1
"Pterocaesio",0.0125,3.132681,0.958698
"Oxycheilinus",0.020919,2.941503,0.961889
"Pomacentrus coelestis",0.037,2.63,1
"Scarus ferrugineus",0.01445,3.04,1
"Lethrinus mahsena",0.011334,3.121525,1
"Parupeneus forsskali",0.01202,3.09,1
"Acanthurus",0.022969,2.965906,0.9977
"Istigobius decoratus",0.019968,2.73918,1
"Bodianus mesothorax",0.01202,3.06,1
"Hologymnosus annulatus",0.0049,3.11,1
"Neopomacentrus",0.021247,2.924105,0.964267
"Pomacentrus proteus",0.02344,2.98,1
"Acanthurus bariene",0.02291,2.96,1
"Oxycheilinus unifasciatus",0.0166,2.95,1
"Scolopsis monogramma",0.025,3.104,0.748
